"Date","Mean"
00:00:00 10/01/1999,       0.000
00:00:00 10/02/1999,       0.000
00:00:00 10/03/1999,       0.000
00:00:00 10/04/1999,       0.000
00:00:00 10/05/1999,       0.000
00:00:00 10/06/1999,       0.000
00:00:00 10/07/1999,       0.000
00:00:00 10/08/1999,       0.000
00:00:00 10/09/1999,       0.000
00:00:00 10/10/1999,       0.000
00:00:00 10/11/1999,       0.000
00:00:00 10/12/1999,       0.000
00:00:00 10/13/1999,       0.000
00:00:00 10/14/1999,       0.000
00:00:00 10/15/1999,       0.000
00:00:00 10/16/1999,       0.000
00:00:00 10/17/1999,       0.000
00:00:00 10/18/1999,       0.000
00:00:00 10/19/1999,       0.000
00:00:00 10/20/1999,       0.000
00:00:00 10/21/1999,       0.000
00:00:00 10/22/1999,       0.000
00:00:00 10/23/1999,       0.000
00:00:00 10/24/1999,       0.000
00:00:00 10/25/1999,       0.000
00:00:00 10/26/1999,       0.000
00:00:00 10/27/1999,       0.000
00:00:00 10/28/1999,       0.000
00:00:00 10/29/1999,       0.000
00:00:00 10/30/1999,       0.000
00:00:00 10/31/1999,       0.000
00:00:00 11/01/1999,       0.000
00:00:00 11/02/1999,       0.000
00:00:00 11/03/1999,       0.000
00:00:00 11/04/1999,       0.000
00:00:00 11/05/1999,       0.000
00:00:00 11/06/1999,       0.000
00:00:00 11/07/1999,       2.470
00:00:00 11/08/1999,       0.000
00:00:00 11/09/1999,       0.000
00:00:00 11/10/1999,       0.000
00:00:00 11/11/1999,       0.000
00:00:00 11/12/1999,       0.000
00:00:00 11/13/1999,       0.000
00:00:00 11/14/1999,       0.000
00:00:00 11/15/1999,       0.000
00:00:00 11/16/1999,       0.260
00:00:00 11/17/1999,       0.000
00:00:00 11/18/1999,       0.000
00:00:00 11/19/1999,       0.000
00:00:00 11/20/1999,       0.000
00:00:00 11/21/1999,       0.000
00:00:00 11/22/1999,       0.000
00:00:00 11/23/1999,       0.000
00:00:00 11/24/1999,       0.000
00:00:00 11/25/1999,       0.000
00:00:00 11/26/1999,       0.000
00:00:00 11/27/1999,       0.000
00:00:00 11/28/1999,       0.000
00:00:00 11/29/1999,       0.000
00:00:00 11/30/1999,       1.010
00:00:00 12/01/1999,       0.000
00:00:00 12/02/1999,       0.000
00:00:00 12/03/1999,       0.000
00:00:00 12/04/1999,       0.000
00:00:00 12/05/1999,       0.000
00:00:00 12/06/1999,       0.000
00:00:00 12/07/1999,       0.000
00:00:00 12/08/1999,       0.000
00:00:00 12/09/1999,       0.000
00:00:00 12/10/1999,       0.000
00:00:00 12/11/1999,       0.000
00:00:00 12/12/1999,       0.000
00:00:00 12/13/1999,       0.000
00:00:00 12/14/1999,       0.000
00:00:00 12/15/1999,       0.000
00:00:00 12/16/1999,       0.000
00:00:00 12/17/1999,       0.000
00:00:00 12/18/1999,       0.000
00:00:00 12/19/1999,       0.000
00:00:00 12/20/1999,       0.000
00:00:00 12/21/1999,       0.000
00:00:00 12/22/1999,       0.000
00:00:00 12/23/1999,       0.000
00:00:00 12/24/1999,       0.000
00:00:00 12/25/1999,       0.000
00:00:00 12/26/1999,       0.000
00:00:00 12/27/1999,       0.000
00:00:00 12/28/1999,       0.000
00:00:00 12/29/1999,       0.000
00:00:00 12/30/1999,       0.000
00:00:00 12/31/1999,       0.000
00:00:00 01/01/2000,       0.000
00:00:00 01/02/2000,       0.000
00:00:00 01/03/2000,       0.000
00:00:00 01/04/2000,       0.000
00:00:00 01/05/2000,       0.000
00:00:00 01/06/2000,       0.000
00:00:00 01/07/2000,       0.000
00:00:00 01/08/2000,       0.000
00:00:00 01/09/2000,       0.000
00:00:00 01/10/2000,       0.000
00:00:00 01/11/2000,       0.000
00:00:00 01/12/2000,       0.000
00:00:00 01/13/2000,       0.000
00:00:00 01/14/2000,       0.000
00:00:00 01/15/2000,       0.000
00:00:00 01/16/2000,       4.920
00:00:00 01/17/2000,       1.290
00:00:00 01/18/2000,       3.240
00:00:00 01/19/2000,       0.000
00:00:00 01/20/2000,       0.000
00:00:00 01/21/2000,       0.000
00:00:00 01/22/2000,       0.200
00:00:00 01/23/2000,     172.320
00:00:00 01/24/2000,    1240.880
00:00:00 01/25/2000,    1014.060
00:00:00 01/26/2000,     464.470
00:00:00 01/27/2000,     282.440
00:00:00 01/28/2000,     199.330
00:00:00 01/29/2000,     152.600
00:00:00 01/30/2000,     134.010
00:00:00 01/31/2000,     184.390
00:00:00 02/01/2000,     157.610
00:00:00 02/02/2000,     141.840
00:00:00 02/03/2000,     134.950
00:00:00 02/04/2000,     145.550
00:00:00 02/05/2000,     123.070
00:00:00 02/06/2000,     119.310
00:00:00 02/07/2000,     111.990
00:00:00 02/08/2000,     104.690
00:00:00 02/09/2000,     100.530
00:00:00 02/10/2000,     107.660
00:00:00 02/11/2000,     246.490
00:00:00 02/12/2000,     710.050
00:00:00 02/13/2000,     834.480
00:00:00 02/14/2000,    2368.850
00:00:00 02/15/2000,    1257.400
00:00:00 02/16/2000,     768.880
00:00:00 02/17/2000,     578.620
00:00:00 02/18/2000,     451.900
00:00:00 02/19/2000,     376.610
00:00:00 02/20/2000,     349.330
00:00:00 02/21/2000,     539.740
00:00:00 02/22/2000,     469.170
00:00:00 02/23/2000,     929.550
00:00:00 02/24/2000,     730.330
00:00:00 02/25/2000,     605.700
00:00:00 02/26/2000,     511.160
00:00:00 02/27/2000,     740.180
00:00:00 02/28/2000,     746.800
00:00:00 02/29/2000,     632.770
00:00:00 03/01/2000,     554.270
00:00:00 03/02/2000,     497.740
00:00:00 03/03/2000,     451.740
00:00:00 03/04/2000,     406.190
00:00:00 03/05/2000,     788.130
00:00:00 03/06/2000,     828.930
00:00:00 03/07/2000,     611.480
00:00:00 03/08/2000,     632.190
00:00:00 03/09/2000,     660.450
00:00:00 03/10/2000,     591.900
00:00:00 03/11/2000,     538.360
00:00:00 03/12/2000,     503.120
00:00:00 03/13/2000,     458.630
00:00:00 03/14/2000,     418.770
00:00:00 03/15/2000,     387.440
00:00:00 03/16/2000,     355.400
00:00:00 03/17/2000,     325.600
00:00:00 03/18/2000,     304.050
00:00:00 03/19/2000,     288.090
00:00:00 03/20/2000,     266.180
00:00:00 03/21/2000,     246.850
00:00:00 03/22/2000,     231.230
00:00:00 03/23/2000,     212.630
00:00:00 03/24/2000,     201.810
00:00:00 03/25/2000,     193.730
00:00:00 03/26/2000,     183.440
00:00:00 03/27/2000,     169.050
00:00:00 03/28/2000,     167.890
00:00:00 03/29/2000,     160.530
00:00:00 03/30/2000,     150.580
00:00:00 03/31/2000,     144.040
00:00:00 04/01/2000,     133.640
00:00:00 04/02/2000,     124.850
00:00:00 04/03/2000,     122.930
00:00:00 04/04/2000,     118.300
00:00:00 04/05/2000,     113.880
00:00:00 04/06/2000,     109.770
00:00:00 04/07/2000,      99.680
00:00:00 04/08/2000,      97.520
00:00:00 04/09/2000,      94.780
00:00:00 04/10/2000,      92.900
00:00:00 04/11/2000,      93.950
00:00:00 04/12/2000,      89.640
00:00:00 04/13/2000,      88.060
00:00:00 04/14/2000,      87.490
00:00:00 04/15/2000,      90.510
00:00:00 04/16/2000,      89.340
00:00:00 04/17/2000,     207.030
00:00:00 04/18/2000,     183.610
00:00:00 04/19/2000,     145.910
00:00:00 04/20/2000,     128.690
00:00:00 04/21/2000,     116.360
00:00:00 04/22/2000,     109.490
00:00:00 04/23/2000,     109.070
00:00:00 04/24/2000,     102.320
00:00:00 04/25/2000,      96.120
00:00:00 04/26/2000,      91.270
00:00:00 04/27/2000,      84.740
00:00:00 04/28/2000,      83.690
00:00:00 04/29/2000,      84.240
00:00:00 04/30/2000,      77.740
00:00:00 05/01/2000,      74.980
00:00:00 05/02/2000,      73.700
00:00:00 05/03/2000,      71.400
00:00:00 05/04/2000,      67.340
00:00:00 05/05/2000,      65.420
00:00:00 05/06/2000,      66.090
00:00:00 05/07/2000,      66.890
00:00:00 05/08/2000,      67.290
00:00:00 05/09/2000,      66.520
00:00:00 05/10/2000,      62.360
00:00:00 05/11/2000,      61.940
00:00:00 05/12/2000,      56.800
00:00:00 05/13/2000,      57.580
00:00:00 05/14/2000,      56.250
00:00:00 05/15/2000,      60.370
00:00:00 05/16/2000,      67.010
00:00:00 05/17/2000,      65.450
00:00:00 05/18/2000,      60.550
00:00:00 05/19/2000,      56.470
00:00:00 05/20/2000,      51.630
00:00:00 05/21/2000,      47.030
00:00:00 05/22/2000,      43.810
00:00:00 05/23/2000,      43.140
00:00:00 05/24/2000,      41.570
00:00:00 05/25/2000,      42.200
00:00:00 05/26/2000,      42.450
00:00:00 05/27/2000,      42.510
00:00:00 05/28/2000,      39.600
00:00:00 05/29/2000,      35.090
00:00:00 05/30/2000,      34.290
00:00:00 05/31/2000,      37.000
00:00:00 06/01/2000,      37.860
00:00:00 06/02/2000,      33.420
00:00:00 06/03/2000,      33.150
00:00:00 06/04/2000,      33.870
00:00:00 06/05/2000,      30.840
00:00:00 06/06/2000,      29.500
00:00:00 06/07/2000,      33.030
00:00:00 06/08/2000,      33.850
00:00:00 06/09/2000,      39.610
00:00:00 06/10/2000,      37.100
00:00:00 06/11/2000,      33.950
00:00:00 06/12/2000,      32.250
00:00:00 06/13/2000,      29.970
00:00:00 06/14/2000,      21.990
00:00:00 06/15/2000,      19.320
00:00:00 06/16/2000,      19.640
00:00:00 06/17/2000,      13.630
00:00:00 06/18/2000,      12.220
00:00:00 06/19/2000,      15.460
00:00:00 06/20/2000,      20.100
00:00:00 06/21/2000,      17.570
00:00:00 06/22/2000,      14.850
00:00:00 06/23/2000,      11.910
00:00:00 06/24/2000,      10.040
00:00:00 06/25/2000,      10.060
00:00:00 06/26/2000,       9.660
00:00:00 06/27/2000,       8.070
00:00:00 06/28/2000,       7.230
00:00:00 06/29/2000,       6.460
00:00:00 06/30/2000,       6.830
00:00:00 07/01/2000,       5.160
00:00:00 07/02/2000,       5.780
00:00:00 07/03/2000,       5.230
00:00:00 07/04/2000,       5.170
00:00:00 07/05/2000,       5.930
00:00:00 07/06/2000,       6.160
00:00:00 07/07/2000,       5.060
00:00:00 07/08/2000,       4.570
00:00:00 07/09/2000,       4.580
00:00:00 07/10/2000,       5.230
00:00:00 07/11/2000,       4.880
00:00:00 07/12/2000,       4.450
00:00:00 07/13/2000,       3.610
00:00:00 07/14/2000,       2.900
00:00:00 07/15/2000,       2.920
00:00:00 07/16/2000,       3.270
00:00:00 07/17/2000,       3.590
00:00:00 07/18/2000,       2.180
00:00:00 07/19/2000,       1.710
00:00:00 07/20/2000,       1.640
00:00:00 07/21/2000,       1.290
00:00:00 07/22/2000,       0.990
00:00:00 07/23/2000,       0.930
00:00:00 07/24/2000,       1.100
00:00:00 07/25/2000,       0.910
00:00:00 07/26/2000,       0.730
00:00:00 07/27/2000,       0.220
00:00:00 07/28/2000,       0.060
00:00:00 07/29/2000,       0.030
00:00:00 07/30/2000,       0.030
00:00:00 07/31/2000,       0.020
00:00:00 08/01/2000,       0.010
00:00:00 08/02/2000,       0.000
00:00:00 08/03/2000,       0.000
00:00:00 08/04/2000,       0.000
00:00:00 08/05/2000,       0.000
00:00:00 08/06/2000,       0.000
00:00:00 08/07/2000,       0.000
00:00:00 08/08/2000,       0.000
00:00:00 08/09/2000,       0.000
00:00:00 08/10/2000,       0.000
00:00:00 08/11/2000,       0.000
00:00:00 08/12/2000,       0.000
00:00:00 08/13/2000,       0.000
00:00:00 08/14/2000,       0.000
00:00:00 08/15/2000,       0.000
00:00:00 08/16/2000,       0.000
00:00:00 08/17/2000,       0.000
00:00:00 08/18/2000,       0.000
00:00:00 08/19/2000,       0.000
00:00:00 08/20/2000,       0.000
00:00:00 08/21/2000,       0.000
00:00:00 08/22/2000,       0.000
00:00:00 08/23/2000,       0.000
00:00:00 08/24/2000,       0.000
00:00:00 08/25/2000,       0.000
00:00:00 08/26/2000,       0.000
00:00:00 08/27/2000,       0.000
00:00:00 08/28/2000,       0.000
00:00:00 08/29/2000,       0.000
00:00:00 08/30/2000,       0.000
00:00:00 08/31/2000,       0.000
00:00:00 09/01/2000,       0.000
00:00:00 09/02/2000,       0.310
00:00:00 09/03/2000,       0.000
00:00:00 09/04/2000,       0.000
00:00:00 09/05/2000,       0.000
00:00:00 09/06/2000,       0.000
00:00:00 09/07/2000,       0.000
00:00:00 09/08/2000,       0.000
00:00:00 09/09/2000,       0.000
00:00:00 09/10/2000,       0.000
00:00:00 09/11/2000,       0.000
00:00:00 09/12/2000,       0.000
00:00:00 09/13/2000,       0.000
00:00:00 09/14/2000,       0.000
00:00:00 09/15/2000,       0.000
00:00:00 09/16/2000,       0.000
00:00:00 09/17/2000,       0.000
00:00:00 09/18/2000,       0.000
00:00:00 09/19/2000,       0.000
00:00:00 09/20/2000,       0.000
00:00:00 09/21/2000,       0.000
00:00:00 09/22/2000,       0.010
00:00:00 09/23/2000,       0.000
00:00:00 09/24/2000,       0.000
00:00:00 09/25/2000,       0.000
00:00:00 09/26/2000,       0.000
00:00:00 09/27/2000,       0.000
00:00:00 09/28/2000,       0.000
00:00:00 09/29/2000,       0.000
00:00:00 09/30/2000,       0.000
00:00:00 10/01/2000,       0.000
00:00:00 10/02/2000,       0.000
00:00:00 10/03/2000,       0.000
00:00:00 10/04/2000,       0.000
00:00:00 10/05/2000,       0.000
00:00:00 10/06/2000,       0.000
00:00:00 10/07/2000,       0.000
00:00:00 10/08/2000,       0.000
00:00:00 10/09/2000,       0.000
00:00:00 10/10/2000,       0.130
00:00:00 10/11/2000,       0.000
00:00:00 10/12/2000,       0.000
00:00:00 10/13/2000,       0.000
00:00:00 10/14/2000,       0.000
00:00:00 10/15/2000,       0.000
00:00:00 10/16/2000,       0.000
00:00:00 10/17/2000,       0.000
00:00:00 10/18/2000,       0.000
00:00:00 10/19/2000,       0.000
00:00:00 10/20/2000,       0.000
00:00:00 10/21/2000,       0.000
00:00:00 10/22/2000,       0.000
00:00:00 10/23/2000,       0.000
00:00:00 10/24/2000,       0.000
00:00:00 10/25/2000,       0.200
00:00:00 10/26/2000,       0.110
00:00:00 10/27/2000,       0.000
00:00:00 10/28/2000,       0.380
00:00:00 10/29/2000,       0.670
00:00:00 10/30/2000,       0.010
00:00:00 10/31/2000,       0.000
00:00:00 11/01/2000,       0.000
00:00:00 11/02/2000,       0.000
00:00:00 11/03/2000,       0.000
00:00:00 11/04/2000,       0.000
00:00:00 11/05/2000,       0.000
00:00:00 11/06/2000,       0.000
00:00:00 11/07/2000,       0.000
00:00:00 11/08/2000,       0.000
00:00:00 11/09/2000,       0.000
00:00:00 11/10/2000,       0.060
00:00:00 11/11/2000,       0.000
00:00:00 11/12/2000,       0.000
00:00:00 11/13/2000,       0.000
00:00:00 11/14/2000,       0.000
00:00:00 11/15/2000,       0.000
00:00:00 11/16/2000,       0.000
00:00:00 11/17/2000,       0.000
00:00:00 11/18/2000,       0.000
00:00:00 11/19/2000,       0.000
00:00:00 11/20/2000,       0.000
00:00:00 11/21/2000,       0.000
00:00:00 11/22/2000,       0.000
00:00:00 11/23/2000,       0.000
00:00:00 11/24/2000,       0.000
00:00:00 11/25/2000,       0.000
00:00:00 11/26/2000,       0.000
00:00:00 11/27/2000,       0.000
00:00:00 11/28/2000,       0.000
00:00:00 11/29/2000,       0.030
00:00:00 11/30/2000,       0.000
00:00:00 12/01/2000,       0.000
00:00:00 12/02/2000,       0.370
00:00:00 12/03/2000,       1.490
00:00:00 12/04/2000,       1.570
00:00:00 12/05/2000,       1.980
00:00:00 12/06/2000,       2.200
00:00:00 12/07/2000,       2.900
00:00:00 12/08/2000,       3.620
00:00:00 12/09/2000,       4.030
00:00:00 12/10/2000,       4.410
00:00:00 12/11/2000,       5.220
00:00:00 12/12/2000,       6.010
00:00:00 12/13/2000,       6.100
00:00:00 12/14/2000,       6.100
00:00:00 12/15/2000,       6.330
00:00:00 12/16/2000,       7.440
00:00:00 12/17/2000,       7.320
00:00:00 12/18/2000,       7.280
00:00:00 12/19/2000,       6.900
00:00:00 12/20/2000,       6.760
00:00:00 12/21/2000,       6.540
